Codigo_ruta;Tipo Dia;H_ Inicio Operaci?_1;H_ Fin  Operaci?_1
7_3;Habil;4:05:00;0:20:00
7_3;Sabado;5:05:00;0:20:00
7_3;Festivo;5:45:00;23:30:00
10_4;Habil;4:00:00;0:30:00
10_4;Sabado;4:30:00;0:30:00
10_4;Festivo;5:00:00;23:30:00
10_3;Habil;4:00:00;0:30:00
10_3;Sabado;4:30:00;0:30:00
10_3;Festivo;5:00:00;23:30:00
M84 Museo Nacional;Habil;5:00:00;23:00:00
M84 Museo Nacional;Sabado;5:00:00;23:00:00
M84 Museo Nacional;Festivo;6:00:00;22:00:00
C84 ETB Tibabuyes;Habil;5:00:00;23:00:00
C84 ETB Tibabuyes;Sabado;5:00:00;23:00:00
C84 ETB Tibabuyes;Festivo;6:00:00;22:00:00
13_12;Habil;4:30:00;0:20:00
13_12;Sabado;5:00:00;0:20:00
13_12;Festivo;5:30:00;23:20:00
G44 - SAN MATEO;Habil;5:00:00;23:00:00
G44 - SAN MATEO;Sabado;5:00:00;23:00:00
9_7;Habil;4:00:00;0:30:00
9_7;Sabado;4:30:00;0:30:00
9_7;Festivo;5:00:00;23:30:00
9_10;Habil;4:00:00;0:30:00
9_10;Sabado;4:30:00;0:30:00
9_10;Festivo;5:00:00;23:30:00
9_1;Habil;4:00:00;0:30:00
9_1;Sabado;4:30:00;0:30:00
9_1;Festivo;5:00:00;23:30:00
M81 Museo Nacional;Habil;5:00:00;23:00:00
M81 Museo Nacional;Sabado;5:30:00;22:30:00
M81 Museo Nacional;Festivo;6:00:00;21:30:00
D81 Puente de Guadua;Habil;5:00:00;23:00:00
D81 Puente de Guadua;Sabado;5:30:00;22:30:00
D81 Puente de Guadua;Festivo;6:00:00;21:30:00
6_8;Habil;5:00:00;9:00:00
6_8;Sabado;5:00:00;8:30:00
6_12;Habil;4:00:00;0:30:00
6_12;Sabado;5:00:00;0:30:00
6_12;Festivo;5:30:00;23:30:00
6_6;Habil;5:00:00;9:00:00
6_5;Habil;4:00:00;0:30:00
6_5;Sabado;5:00:00;0:30:00
6_5;Festivo;5:30:00;23:30:00
9_5;Habil;4:00:00;9:00:00
9_5;Sabado;4:30:00;9:30:00
9_4;Habil;4:00:00;0:30:00
9_4;Sabado;4:30:00;0:30:00
9_4;Festivo;5:00:00;23:30:00
9_2;Habil;4:00:00;0:30:00
9_2;Sabado;4:30:00;0:30:00
9_2;Festivo;5:00:00;23:30:00
6_1;Habil;4:00:00;0:30:00
6_1;Sabado;5:00:00;0:30:00
6_1;Festivo;5:30:00;23:30:00
6_2;Habil;4:00:00;0:30:00
6_2;Sabado;5:00:00;0:30:00
6_2;Festivo;5:30:00;23:30:00
7_2;Habil;4:05:00;0:20:00
7_2;Sabado;5:05:00;0:20:00
7_2;Festivo;5:45:00;23:30:00
6_9;Habil;4:00:00;0:30:00
6_9;Sabado;5:00:00;0:30:00
6_9;Festivo;5:30:00;23:30:00
6_4;Habil;4:00:00;0:30:00
6_4;Sabado;5:00:00;0:30:00
6_4;Festivo;5:30:00;23:30:00
6_3;Habil;4:00:00;0:30:00
6_3;Sabado;5:00:00;0:30:00
6_3;Festivo;5:30:00;23:30:00
6_7;Habil;4:00:00;0:30:00
6_7;Sabado;5:00:00;0:30:00
6_7;Festivo;5:30:00;23:30:00
C15 PORTAL SUBA;Habil;5:00:00;23:00:00
C15 PORTAL SUBA;Sabado;5:00:00;23:00:00
C15 PORTAL SUBA;Festivo;5:30:00;22:00:00
C50 P.SUBA;Habil;6:00:00;8:00:00
K23 P.ELDORADO;Habil;5:30:00;22:00:00
K23 P.ELDORADO;Sabado;5:30:00;22:00:00
F51 P. AMERICAS;Habil;5:00:00;23:00:00
F51 P. AMERICAS;Sabado;5:00:00;23:00:00
3_5;Habil;4:00:00;0:30:00
3_5;Sabado;5:00:00;0:30:00
3_5;Festivo;5:30:00;23:30:00
3_13;Habil;4:00:00;23:00:00
3_13;Sabado;5:00:00;22:00:00
3_13;Festivo;5:30:00;22:00:00
K54 P. ELDORADO BIART;Habil;5:30:00;22:30:00
K54 P. ELDORADO BIART;Sabado;5:30:00;22:30:00
H54 P. USME BIART;Habil;5:30:00;22:30:00
H54 P. USME BIART;Sabado;5:30:00;22:30:00
K86 Aeropuerto Eldorado;Habil;5:30:00;23:00:00
M86 Fundacion Santa Fe;Habil;4:30:00;22:00:00
K86 Aeropuerto Eldorado;Sabado;6:00:00;23:00:00
M86 Fundacion Santa Fe;Sabado;5:00:00;22:00:00
K86 Aeropuerto Eldorado;Festivo;7:00:00;22:00:00
M86 Fundacion Santa Fe;Festivo;6:00:00;21:00:00
2_7;Habil;4:30:00;0:30:00
2_7;Sabado;5:00:00;0:30:00
2_7;Festivo;5:30:00;23:30:00
13_9;Habil;4:30:00;0:20:00
13_9;Sabado;5:00:00;0:20:00
13_9;Festivo;5:30:00;23:20:00
1_4;Habil;4:30:00;0:30:00
1_4;Sabado;5:00:00;0:30:00
1_4;Festivo;5:30:00;23:30:00
16_10;Habil;4:30:00;0:20:00
16_10;Sabado;5:00:00;0:20:00
16_10;Festivo;5:30:00;23:20:00
1_5;Habil;4:30:00;0:30:00
1_5;Sabado;5:00:00;0:30:00
1_5;Festivo;5:30:00;23:30:00
4_3;Habil;4:00:00;0:20:00
4_3;Sabado;5:00:00;0:20:00
4_3;Festivo;5:30:00;23:20:00
4_2;Habil;4:00:00;0:20:00
4_2;Sabado;5:00:00;0:20:00
4_2;Festivo;5:30:00;23:20:00
4_1;Habil;4:00:00;0:20:00
4_1;Sabado;5:00:00;0:20:00
4_1;Festivo;5:30:00;23:20:00
3_11;Habil;4:00:00;0:30:00
3_11;Sabado;5:00:00;0:30:00
3_11;Festivo;5:30:00;23:30:00
3_10;Habil;4:00:00;0:20:00
3_10;Sabado;5:00:00;0:30:00
3_10;Festivo;5:30:00;23:30:00
3_9;Habil;4:00:00;0:30:00
3_9;Sabado;5:00:00;0:30:00
3_9;Festivo;5:30:00;23:30:00
3_7;Habil;4:00:00;8:30:00
3_7;Sabado;5:00:00;8:30:00
3_6;Habil;4:00:00;0:30:00
3_6;Sabado;5:00:00;0:30:00
3_6;Festivo;5:30:00;23:30:00
3_3;Habil;4:00:00;0:30:00
3_3;Sabado;5:00:00;0:30:00
3_3;Festivo;5:30:00;23:30:00
3_4;Habil;4:00:00;0:30:00
3_4;Sabado;5:00:00;0:30:00
3_4;Festivo;5:30:00;23:30:00
3_2;Habil;4:00:00;0:30:00
3_2;Sabado;5:00:00;0:30:00
3_2;Festivo;5:30:00;23:30:00
3_1;Habil;5:30:00;8:00:00
16_9;Habil;4:30:00;0:20:00
16_9;Sabado;5:00:00;0:20:00
16_9;Festivo;5:30:00;23:20:00
16_13;Habil;4:30:00;0:20:00
16_13;Sabado;5:00:00;0:20:00
16_13;Festivo;5:30:00;23:20:00
16_8;Habil;4:30:00;0:20:00
16_8;Sabado;5:00:00;0:20:00
16_8;Festivo;5:30:00;23:20:00
9_11;Habil;4:00:00;0:30:00
9_11;Sabado;4:30:00;0:30:00
9_11;Festivo;5:00:00;23:30:00
16_2;Habil;4:30:00;0:20:00
16_2;Sabado;5:00:00;0:20:00
16_2;Festivo;5:30:00;23:20:00
13_6;Habil;4:30:00;0:20:00
13_6;Sabado;5:00:00;0:20:00
13_6;Festivo;5:30:00;23:20:00
1_3;Habil;4:30:00;0:30:00
1_3;Sabado;5:00:00;0:30:00
1_3;Festivo;5:30:00;23:30:00
1_7;Habil;4:30:00;0:30:00
1_7;Sabado;5:00:00;0:30:00
1_7;Festivo;5:30:00;23:30:00
1_10;Habil;4:30:00;0:30:00
1_10;Sabado;5:00:00;0:30:00
1_10;Festivo;5:30:00;23:30:00
5_4;Habil;4:30:00;0:20:00
5_4;Sabado;5:00:00;0:20:00
5_4;Festivo;5:30:00;23:20:00
5_3;Habil;4:30:00;0:20:00
5_3;Sabado;5:00:00;0:20:00
5_3;Festivo;5:30:00;23:20:00
1_2;Habil;4:30:00;0:30:00
1_2;Sabado;5:00:00;0:30:00
1_2;Festivo;5:30:00;23:30:00
1_6;Habil;4:30:00;0:30:00
1_6;Sabado;5:00:00;0:30:00
1_6;Festivo;5:30:00;23:30:00
1_8;Habil;6:00:00;9:00:00
5_2;Habil;4:30:00;0:20:00
5_2;Sabado;5:00:00;0:20:00
5_2;Festivo;5:30:00;23:20:00
7_1;Habil;4:05:00;0:20:00
7_1;Sabado;5:05:00;0:20:00
7_1;Festivo;5:45:00;23:30:00
12_1;Habil;4:10:00;0:20:00
12_1;Sabado;4:35:00;0:20:00
12_1;Festivo;5:05:00;23:20:00
10_8;Habil;4:00:00;23:00:00
10_8;Sabado;5:00:00;18:00:00
10_6;Habil;4:00:00;0:30:00
10_6;Sabado;4:30:00;0:30:00
10_6;Festivo;5:00:00;23:30:00
10_5;Habil;4:00:00;22:30:00
10_5;Sabado;4:30:00;22:30:00
10_5;Festivo;5:00:00;22:00:00
10_2;Habil;4:00:00;0:30:00
10_2;Sabado;4:30:00;0:30:00
10_2;Festivo;5:00:00;23:30:00
10_1;Habil;4:00:00;8:30:00
10_1;Sabado;4:30:00;8:00:00
1_9;Habil;4:30:00;0:30:00
1_9;Sabado;5:00:00;0:30:00
1_9;Festivo;5:30:00;23:30:00
2_11;Habil;5:30:00;8:30:00
2_8;Habil;5:00:00;8:30:00
2_10;Habil;4:30:00;0:30:00
2_10;Sabado;5:00:00;0:30:00
2_10;Festivo;5:30:00;23:30:00
2_4;Habil;4:30:00;0:30:00
2_4;Sabado;5:00:00;0:30:00
2_4;Festivo;5:30:00;23:30:00
2_1;Habil;4:30:00;0:30:00
2_1;Sabado;5:00:00;0:30:00
2_1;Festivo;5:30:00;23:30:00
2_5;Habil;4:30:00;0:30:00
2_5;Sabado;5:00:00;0:30:00
2_5;Festivo;5:30:00;23:30:00
2_2;Habil;4:30:00;0:30:00
2_2;Sabado;5:00:00;0:30:00
2_2;Festivo;5:30:00;23:30:00
9_3;Habil;4:00:00;0:30:00
9_3;Sabado;4:30:00;0:30:00
9_3;Festivo;5:00:00;23:30:00
16_14;Habil;4:30:00;0:20:00
16_14;Sabado;5:00:00;0:20:00
16_14;Festivo;5:30:00;23:20:00
13_7;Habil;4:30:00;0:20:00
13_7;Sabado;5:00:00;0:20:00
13_7;Festivo;5:30:00;23:20:00
13_8;Habil;4:30:00;0:20:00
13_8;Sabado;5:00:00;0:20:00
13_8;Festivo;5:30:00;23:20:00
14_2;Habil;4:30:00;0:20:00
14_2;Sabado;5:00:00;0:20:00
14_2;Festivo;5:20:00;23:20:00
9_8;Habil;4:00:00;0:30:00
9_8;Sabado;4:30:00;0:30:00
9_8;Festivo;5:00:00;23:30:00
8_4;Habil;4:00:00;0:30:00
8_4;Sabado;4:30:00;0:30:00
8_4;Festivo;5:00:00;23:30:00
13_10;Habil;4:30:00;0:20:00
13_10;Sabado;5:00:00;0:20:00
13_10;Festivo;5:30:00;23:20:00
B56 HEROES;Habil;6:00:00;8:00:00
B52 P.NORTE;Habil;5:30:00;8:30:00
8_5;Habil;4:00:00;0:30:00
8_5;Sabado;4:30:00;0:30:00
8_5;Festivo;5:00:00;23:30:00
8_3;Habil;4:00:00;0:30:00
8_3;Sabado;4:30:00;0:30:00
8_3;Festivo;5:00:00;23:30:00
TC19;Habil;4:00:00;0:30:00
TC19;Sabado;5:00:00;0:30:00
TC19;Festivo;5:30:00;23:20:00
9_9;Habil;4:00:00;0:30:00
9_9;Sabado;4:30:00;0:30:00
9_9;Festivo;5:00:00;23:30:00
9_6;Habil;4:00:00;8:30:00
8_2;Habil;4:00:00;0:30:00
8_2;Sabado;4:30:00;0:30:00
8_2;Festivo;5:00:00;23:30:00
8_1;Habil;4:00:00;0:30:00
8_1;Sabado;4:30:00;0:30:00
8_1;Festivo;5:00:00;23:30:00
K10 P. ELDORADO;Habil;4:30:00;23:00:00
K10 P. ELDORADO;Sabado;5:00:00;23:00:00
K10 P. ELDORADO;Festivo;5:30:00;22:00:00
L10 P. 20 DE JULIO;Habil;5:00:00;23:00:00
L10 P. 20 DE JULIO;Sabado;5:00:00;23:00:00
L10 P. 20 DE JULIO;Festivo;5:30:00;22:00:00
C73 P.SUBA;Habil;16:00:00;22:30:00
13_3;Habil;4:30:00;0:20:00
13_3;Sabado;5:00:00;0:20:00
13_3;Festivo;5:30:00;23:30:00
16_4;Habil;4:30:00;0:20:00
16_4;Sabado;5:00:00;0:20:00
16_4;Festivo;5:30:00;23:20:00
16_1;Habil;4:30:00;0:20:00
16_1;Sabado;5:00:00;0:20:00
16_1;Festivo;5:30:00;23:20:00
16_3;Habil;4:30:00;0:20:00
16_3;Sabado;5:00:00;0:20:00
16_3;Festivo;5:30:00;23:20:00
